,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Explicit,External URLs
82,Aa Toh Sahi,"Meet Bros., Neha Kakkar, Roach Killa",Best Of Neha Kakkar 2017,3ae6eDfm13dkscZKiPdTqY,7rF4dZl3UAzfkUWxXrDzRk,44,2017-12-28,False,https://open.spotify.com/track/7rF4dZl3UAzfkUWxXrDzRk
83,"Laung Laachi Title Track (From ""Laung Laachi"")","Mannat Noor, Gurmeet Singh","Laung Laachi Title Track (From ""Laung Laachi"")",396twavEqFLIB2wPhSOVsl,31EqumBCMNGK3kt1sSL4gV,52,2018-02-22,False,https://open.spotify.com/track/31EqumBCMNGK3kt1sSL4gV
84,Mercy (DJ Chetas Remix),"Badshah, Dj Chetas",Mercy (DJ Chetas Remix),4p53ZLtnfdcg3rKYfcHZtX,6NO67YOpd8y7IiCT7G606w,33,2017-07-21,False,https://open.spotify.com/track/6NO67YOpd8y7IiCT7G606w
85,"Nachle Na (From ""Dil Juunglee"")","Guru Randhawa, Neeti Mohan",High Rated Gabru - Guru Randhawa,6EDbwGsQNQRLf73c7QwZ2f,3jRRXK3Vx0cDsLASHkRIxW,38,2019-03-02,False,https://open.spotify.com/track/3jRRXK3Vx0cDsLASHkRIxW
86,Daddy Mummy,"Devi Sri Prasad, M.M.Manasi, Kumaar",Bhaag Johnny,64ibky4YSK0zcsEhMalO7c,1R4RQCBKV9kHjZG7Jp00kn,49,2015-08-24,False,https://open.spotify.com/track/1R4RQCBKV9kHjZG7Jp00kn
87,Sawan Mein Lag Gayi Aag,"Mika Singh, Payal Dev, Neha Kakkar, Badshah",Ginny Weds Sunny (Original Motion Picture Soundtrack),0uV4f6bZkuwb6BW1dZ3EPC,6oloWgrErtc8dG2WiV55gn,58,2020-09-28,False,https://open.spotify.com/track/6oloWgrErtc8dG2WiV55gn
88,Pyaar Do Pyaar Lo,"Pritam, Mika Singh",Thank You,3xO0FdyFQVLFDc7fCfnUPR,436U9qhMOIoVeA7FJMWC5C,40,2011-03-03,False,https://open.spotify.com/track/436U9qhMOIoVeA7FJMWC5C
89,Gaddi Neevi,"Singhsta, Yo Yo Honey Singh",Gaddi Neevi,6G9jv5W1KXcCSRs2Qcl5kO,4Kib0pDIUzP5iPzOSXHutf,29,2021-12-16,False,https://open.spotify.com/track/4Kib0pDIUzP5iPzOSXHutf
90,Urvashi,Yo Yo Honey Singh,Urvashi,7gXEynlmX5QMPN4ZgyxMso,342pJxy678kgQrZXCL9RG7,56,2018-09-28,False,https://open.spotify.com/track/342pJxy678kgQrZXCL9RG7
91,,,,6FfNmnl6x2AURdIRKJj925,7yn0E97MoGLBaW8mqIwqNr,0,0000,False,https://open.spotify.com/track/7yn0E97MoGLBaW8mqIwqNr
92,She Move It Like,Badshah,ONE (Original Never Ends),1g1jWkfmIQPBwbUBc7VxTw,39vrbjCMTRXEdiIr2IsBgd,64,2018-08-17,False,https://open.spotify.com/track/39vrbjCMTRXEdiIr2IsBgd
93,Jaguar,Sukh-E Muzical Doctorz,Jaguar,6flUDdEnMfEv3QF7aAnJdq,72IW4kA3JjfTxLhYvreSPc,61,2015-01-28,False,https://open.spotify.com/track/72IW4kA3JjfTxLhYvreSPc
94,"Makhna (From ""Makhna"")","Yo Yo Honey Singh, Neha Kakkar, Singhsta, Pinaki, Sean, Allistair",Super Hits Of Yo Yo Honey Singh,3QiwVIciEpzLwgHUugRvP5,1IInNAVdueQgjrtVsPZEkW,52,2020-05-25,False,https://open.spotify.com/track/1IInNAVdueQgjrtVsPZEkW
95,,,,2jw92hf4mnISbYywvU3Anj,3OZr3vo7SmYpn5XqeQEAOM,0,0000,False,https://open.spotify.com/track/3OZr3vo7SmYpn5XqeQEAOM
96,Move Your Lakk,"Diljit Dosanjh, Badshah, Sonakshi Sinha",Move Your Lakk,0V06TMGQQQkvKxNmFlKyEj,3aYMKdSitJeHUCZO8Wt6fw,48,2017-03-29,False,https://open.spotify.com/track/3aYMKdSitJeHUCZO8Wt6fw
97,"Patola (From ""Blackmail"")","Guru Randhawa, Preet Hundal","Patola (From ""Blackmail"")",2XAAIDEpPb57NsKgAHLGVQ,17LZzRCY0iFWlDDuAG7BlM,61,2018-03-05,False,https://open.spotify.com/track/17LZzRCY0iFWlDDuAG7BlM
98,"Ban Ja Rani (From ""Tumhari Sulu"")",Guru Randhawa,High Rated Gabru - Guru Randhawa,6EDbwGsQNQRLf73c7QwZ2f,7cQtGVoPCK9DlspeYjdHOA,61,2019-03-02,False,https://open.spotify.com/track/7cQtGVoPCK9DlspeYjdHOA
99,"Hauli Hauli (From ""De De Pyaar De"")","Garry Sandhu, Neha Kakkar, Mellow D",Dance Syndrome,6e1XB070vlPaxGDAsi8AF6,4XyKoSEWrkQjI4AekJYWNx,33,2019-09-03,False,https://open.spotify.com/track/4XyKoSEWrkQjI4AekJYWNx
